The checks below preserve attribution, qualifications and rhetorical context. For advocacy and evaluative language, the check concerns whether the draft faithfully expresses Reed’s supplied position. Repeated propositions are recorded once, with their occurrences identified.

| Draft passage | Complete contextual meaning | Precise negation | Supplied words ruling out that negation |
|---|---|---|---|
| “By Amina Reed, chair of Room to Rehearse”; “As chair…” | Reed chairs Room to Rehearse. | Reed does not chair Room to Rehearse. | “Amina Reed, chair of the local music association Room to Rehearse.” |
| “its former storage wing” | The wing formerly served as storage. | The wing did not formerly serve as storage. | “the former storage wing” |
| “Before…trustees commit…to three years of commercial letting”; closing reference to “the three-year letting decision” | Three-year commercial letting is proposed and awaiting a decision. The draft does not say a commitment already exists. | Three-year commercial letting is not the proposal awaiting the trustees’ decision. | “proposes letting the former storage wing for three years”; “before choosing between uses”; “defer the three-year letting decision” |
| “The trustees’ paper of 3 July 2026” | The relevant trustees’ paper bears that date. | The relevant paper is not dated 3 July 2026. | “The trustees’ paper of 3 July 2026” |
| “predictable income would help meet maintenance costs” | The paper argues that predictable letting income would contribute to maintenance costs; neither an amount nor full coverage is asserted. | The paper does not argue that predictable income would help meet maintenance costs. | “It says predictable income would help meet the hall’s maintenance costs.” |
| “makes a serious case”; “That concern deserves weight” | Reed treats the maintenance-income argument as a legitimate consideration, without endorsing letting as the eventual choice. | Reed dismisses that financial concern as unworthy of serious consideration. | “treating the trustees’ financial concern seriously”; “She accepts that commercial letting may prove the better option.” |
| “the paper names neither a prospective tenant…” | The paper identifies no prospective tenant; the draft does not assert that none exists. | The paper identifies a prospective tenant. | “No prospective tenant…is named.” |
| “…nor a rental figure” | The paper specifies no rental figure; the draft does not assert that rental income would be absent. | The paper specifies a rental figure. | “No…rental figure is named.” |
| “Commercial letting may prove the better option” | Reed accepts that the eventual assessment could favour commercial letting. | Reed rules out commercial letting proving better. | “She accepts that commercial letting may prove the better option.” |
| “a comparison should help establish that” | Reed presents comparison as a way to assess whether letting is preferable. “May” and “should” preserve uncertainty about both the outcome and the comparison’s usefulness. | Reed’s position rejects comparison as a means of informing the choice between uses. | “wants the trustees to commission the study before choosing between uses”; “publish a comparison of the two uses” |
| “Our survey”; “Of 14 local music groups surveyed” | Room to Rehearse surveyed 14 local music groups. | Room to Rehearse did not survey 14 local music groups. | “Room to Rehearse surveyed 14 local music groups.” |
| “nine said they would consider using a room on weekday evenings” | Nine surveyed groups expressed willingness to consider weekday-evening rehearsal use, without committing to attend. | It is not the case that nine surveyed groups expressed that conditional interest in weekday-evening rehearsal use. | “Nine said they would consider using a rehearsal room on weekday evenings.” |
| “Those responses are expressions of interest” | The nine responses register interest in possible use. | Those responses do not register interest in possible use. | “This is an expression of interest” |
| “not booking commitments” | Those expressions of interest do not constitute bookings. | Those expressions of interest constitute booking commitments. | “not a booking commitment” |
| “We did not ask what groups would pay” | The survey omitted willingness-to-pay questions. | The survey asked what groups would pay. | “The survey did not ask what they would pay” |
