**No findings. No repairs are needed.** The draft’s factual and attributed content is supported. Its judgments about the adequacy of the evidence remain recognizable as Sanna Ek’s argument, with the administration’s stated motive and the uncertainty about costs preserved.

The record below consolidates repeated propositions. Negations apply to the contextual meaning stated in the same row.

| Draft passage | Complete contextual meaning | Precise negation | Supplied words ruling out that negation |
|---|---|---|---|
| “Sanna Ek, talesperson för föreningen Öppna beslut” | Sanna Ek is the association’s spokesperson and the article’s intended author. | Sanna Ek is not the association’s spokesperson or intended author. | “Avsändare är Sanna Ek, talesperson för föreningen Öppna beslut.” |
| “Kommunstyrelsen i Lervik bör skjuta upp ett permanent byte …”; repeated in the conclusion | Öppna beslut advocates postponing the permanent switch to exclusively digital booking. This is a recommendation, not a claim that postponement is legally required. | Postponement is not the supplied position of Öppna beslut. | “Tes: kommunstyrelsen bör skjuta upp ett permanent byte till enbart digital bokning av föreningslokaler”. |
| “Vi i Öppna beslut vill först se ett halvår …”; “ett sex månader långt försök”; repeated in the conclusion | The association proposes a six-month trial before deciding on permanent removal. | The association does not propose a six-month trial before that decision. | “först pröva ett halvår”; “Öppna beslut föreslår ett sex månader långt försök”. |
| “med både telefon och webb”; “Behåll båda bokningsvägarna”; repeated in the conclusion | Both booking channels would remain available during the proposed trial. | The proposal does not retain both channels during the trial. | “med båda bokningsvägarna kvar.” |
| “i alla sju lokaler”; repeated in the trial proposal | The proposed trial covers all seven premises. | The proposed trial does not cover all seven premises. | “ett sex månader långt försök i alla sju lokaler”. |
| “Kommunen behöver kunna väga arbetskostnaden mot värdet för användarna innan den stänger en bokningsväg.” | Ek’s position is that the municipality should be able to assess labour cost against user value before removing a channel. | That prerequisite is not Ek’s supplied position. | “Hon menar att kommunen först måste kunna väga arbetskostnaden mot värdet för användarna.” |
| “Kommunens pilotrapport *Bokning av föreningslokaler*, daterad den 8 april 2026” | The named municipal pilot report is dated 8 April 2026. | The named report is not dated 8 April 2026. | “Kommunens pilotrapport Bokning av föreningslokaler, 8 april 2026”. |
| “redovisar 96 webbokningar” | The report records 96 bookings through the web during the pilot. | The report does not record 96 web bookings during the pilot. | “Under försöket gjordes 96 bokningar via webb”. |
| “och 24 telefonbokningar” | The report records 24 bookings by telephone during the pilot. | The report does not record 24 telephone bookings during the pilot. | “och 24 via telefon.” |
| “under åtta veckor” | The pilot lasted eight weeks. | The pilot did not last eight weeks. | “ett åtta veckor långt försök”. |
| “i två lokaler” | The pilot covered two premises. | The pilot did not cover two premises. | “ett åtta veckor långt försök i två lokaler.” |
| “Bokningar är inte unika personer”; “Det är bokningar, inte unika personer.” | The reported figures count bookings rather than distinct people; the heading refers to those figures. | The reported figures are not counts of bookings rather than distinct people. | “Rapporten räknar bokningar, inte unika personer.” |
| “Rapporten mäter varken ålder …” | The report does not measure age. | The report measures age. | “Den mäter inte ålder”. |
| “… funktionsförmåga …” | The report does not measure functional ability. | The report measures functional ability. | “Den mäter inte … funktionsförmåga”. |
| “… eller digital vana.” | The report does not measure digital familiarity. | The report measures digital familiarity. | “Den mäter inte … digital vana.” |
| “Siffrorna visar alltså inte hur stor andel av Lerviks invånare som saknar möjlighet att boka digitalt.” | These booking figures do not establish the proportion of residents unable to book digitally. This does not assert that nobody is unable to do so. | These figures establish the proportion of residents unable to book digitally. | “Telefonbokningarna kan därför inte användas för att säga hur stor andel av invånarna som inte kan boka digitalt.” |
| “Att en bokning går via telefon är inget bevis för att någon inte kan använda webben.” | A booking’s having been made by telephone does not, by itself, prove that someone cannot use the web. It does not deny that other evidence could establish inability. | A booking’s having been made by telephone does, by itself, prove that someone cannot use the web. | “Att en bokning går via telefon är inte ett bevis för att någon inte kan använda webben.” |
| “Tjänsteutlåtandet inför kommunstyrelsens möte den 18 juni” | The statement is prepared for the municipal executive board’s 18 June meeting. | The statement is not prepared for that meeting. | “Tjänsteutlåtandet inför kommunstyrelsens möte den 18 juni”. |
| “föreslår att telefonbokningen tas bort” | The statement proposes removing telephone booking. It does not report an already adopted decision. | The statement does not propose removing telephone booking. | “föreslår att telefonbokning tas bort”. |
| “för alla sju lokaler” | The proposed removal covers all seven premises. | The proposed removal does not cover all seven premises. | “telefonbokning tas bort för alla sju lokaler”. |
| “från september” | September is the proposed starting point for removal. | September is not the proposed starting point for removal. | “från september.” |
| “Förvaltningens motiv är att personalen ska slippa föra in uppgifter i två flöden.” | The administration’s stated reason for removal is avoiding duplicate data-entry work. The passage does not assign hostile motives toward telephone users. | Avoiding data entry in two workflows is not the administration’s stated reason. | “Motivet i utlåtandet är att personalen ska slippa föra in uppgifter i två flöden”; “Förvaltningens verkliga invändning … är dubbel administration”. |
| “handlingarna innehåller varken någon tidsmätning …” | The documents contain no time measurement. | The documents contain a time measurement. | “Någon tidsmätning … finns inte i handlingarna.” |
| “… eller någon ekonomisk besparingsberäkning.” | The documents contain no calculation of financial savings. This does not claim that savings are impossible. | The documents contain a calculation of financial savings. | “Någon … ekonomisk besparingsberäkning finns inte i handlingarna.” |
| “Jag motsätter mig inte digital bokning.” | Ek does not oppose digital booking itself. Her objection concerns removing the alternative under the present evidentiary conditions. | Ek opposes digital booking itself. | “Hon motsätter sig inte digital bokning.” |
| “registrera tidsåtgången för var och en” | The proposed trial would record time spent for each booking channel. | Recording time spent for each channel is not part of the proposed trial. | “Under försöket ska förvaltningen registrera tidsåtgång per bokningsväg”. |
| “be användarna frivilligt ange varför de väljer telefon eller webb” | Users would be asked to give their reasons for choosing a channel voluntarily. | The proposal does not ask for voluntary explanations of channel choice. | “be användarna frivilligt ange varför de väljer telefon eller webb.” |
| “Vi gör inget anspråk på att ha kostnadsberäknat … försöket.” | The association makes no claim to have calculated the trial’s cost. This describes its claim, rather than asserting a particular cost. | The association claims to have calculated the trial’s cost. | “Föreningen gör inget anspråk på att ha … kostnadsberäknat försöket.” |
| “Vi gör inget anspråk på att ha … finansierat försöket.” | The association makes no claim to have financed the trial. | The association claims to have financed the trial. | “Föreningen gör inget anspråk på att ha finansierat … försöket.” |
| “Kommunstyrelsen måste ta ställning till kostnaden”; repeated in the conclusion | The proposal leaves the cost assessment to the municipal executive board. “Måste” expresses the decision the proposal requires, not an asserted legal duty. | The proposal does not leave the cost assessment to the board. | “Kostnaden behöver kommunstyrelsen ta ställning till.” |
| “Därefter kan den avgöra om en bokningsväg ska tas bort, ändras eller behållas.” | After the proposed trial, the board could decide to remove, change or retain a channel. No particular outcome is promised. | The supplied proposal does not leave those subsequent choices open to the board. | “Därefter kan den avgöra om en kanal ska tas bort, ändras eller behållas.” |

The remaining passages communicate advocacy or interpretation. Their contextual force matters: they do not add the stronger factual claims that a detached reading might suggest.

| Draft passage | Complete contextual meaning | Precise negation | Supplied words supporting the communicated position |
|---|---|---|---|
